country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
Afghanistan,2020,AFG,38972236,,,,,,0,0,0,,112.5,,,,,0,0,,,,,0,,5.95,0.8,,-9.636,-2.921,702.888,,,,3.079,0.12,,,15,,,,,0,0,,,,,,0,,0.09,,,,15.909,0.62,,77.5,,,,,17.448,0.68,,85,,5.15,86.555,,,,0,0,,0,,,,,3.079,0.12,,,,,,15,,,0,0,,,0,0,,0,0,,20.527,27.393,,,,17.448,0.68,,85,,,,,1.54,0.06,,7.5,,,,,0,0,,0,
Afghanistan,2021,AFG,40099460,,,,,,0,0,0,,120.482,,,,,0,0,,,,,0,,6.2,0.83,,-0.942,-0.258,676.696,,,,3.242,0.13,,,15.663,,,,,0,0,,,,,,0,,0.1,,,,15.462,0.62,,74.699,,,,,17.457,0.7,,84.337,,5.37,86.613,,,,0,0,,0,,,,,3.242,0.13,,,,,,15.663,,,0,0,,,0,0,,0,0,,20.699,27.135,,,,17.457,0.7,,84.337,,,,,1.995,0.08,,9.639,,,,,0,0,,0,
Albania,2020,ALB,2866850,,,,,,0,0,0,,24.482,,,,,0,0,,,,,0,,7.59,5.31,,-3.926,-1.307,11158.003,,,,0,0,,,0,,,,,0,0,,,,,,0,,0.13,,,,1841.743,5.28,,99.435,,,,,1852.207,5.31,,100,,2.28,30.04,,,,0,0,,0,,,,,0,0,,,,,,0,,,0,0,,,0,0,,0,0,,1852.207,31.988,,,,1852.207,5.31,,100,,,,,10.464,0.03,,0.565,,,,,0,0,,0,
Albania,2021,ALB,2854710,,,,,,0,0,0,,23.437,,,,,0,0,,,,,0,,8.41,8.96,,25.835,8.264,14100.432,,,,0,0,,,0,,,,,0,0,,,,,,0,,0.21,,,,3114.152,8.89,,99.219,,,,,3138.673,8.96,,100,,-0.55,-6.54,,,,0,0,,0,,,,,0,0,,,,,,0,,,0,0,,,0,0,,0,0,,3138.673,40.253,,,,3138.673,8.96,,100,,,,,24.521,0.07,,0.781,,,,,0,0,,0,
Algeria,2020,DZA,43451668,,,,,,0,0,0,,500.894,-68.281,-3.28,35.063,1.524,0,0,,,,,0,0.235,72.67,72.73,11.208,-6.546,-45.45,14933.807,,-6.551,-45.351,1657.244,72.01,14888.941,646.949,99.01,99.7,-3.783,-17.046,433.5,1535.039,66.7,9976.61,-6.357,-55.276,18739.121,814.246,91.709,66.806,36.43,-67.368,-0.27,0.13,1.151,0.05,2.998,0.069,0.02,-4.466,-0.099,1.949,16.57,0.72,44.866,0.99,0.3,-0.06,-0.083,,,,0,0,,0,,-10.562,-25.026,211.925,122.205,5.31,4877.268,-10.423,-77.979,15423.545,670.179,7.301,32.659,0,0,0,,0,0,0,0,0,0,0,1673.814,648.899,-4.466,-0.099,1.949,16.57,0.72,44.866,0.99,0.3,11.382,0.178,1.799,15.189,0.66,41.403,0.907,0.277,-23,-0.006,0.02,0.23,0.01,0.465,0.014,0.003
Algeria,2021,DZA,44177964,,,,,,0,0,0,,498.904,103.817,1.582,70.289,3.105,0,0,,,,,0,0.442,77.43,77.53,11.027,8.348,54.17,15914.461,,8.398,54.33,1734.349,76.62,15873.962,701.279,98.826,99.745,10.038,43.515,477.015,1616.19,71.4,10797.578,24.162,196.735,22884.285,1010.981,92.093,67.848,38.68,-81.25,-0.106,0.024,2.037,0.09,0.551,0.116,0.003,-7.881,-0.16,1.789,20.599,0.91,40.502,1.174,0.254,-0.1,-0.129,,,,0,0,,0,,4.357,9.234,221.159,118.158,5.22,5006.094,0.998,6.687,15321.35,676.866,6.733,31.456,0,0,0,,0,0,0,0,0,0,0,1754.947,703.068,-7.881,-0.16,1.789,20.599,0.91,40.502,1.174,0.254,-3.066,-0.062,1.737,18.335,0.81,39.329,1.045,0.247,36.364,0.007,0.027,0.226,0.01,0.622,0.013,0.004
Algeria,2022,DZA,44903228,,,,,,,,,,,-51.791,-1.608,33.338,1.497,,,,,,,,0.219,,91.643,13.381,-2.588,-18.199,15252.127,,-2.626,-18.415,,,15207.475,682.865,,99.707,-7.183,-34.265,442.75,,,9860.092,-2.891,-29.231,21863.684,981.75,,64.647,,725.591,0.176,0.2,1.71,0.077,4.458,0.084,0.029,12.467,0.216,2.005,17.127,0.769,44.652,0.839,0.293,,,,,,,,,,,7.894,17.459,238.618,,,5314.044,9.363,63.377,16485.305,740.243,,34.841,0,0,,,0,0,,0,0,,0,2040.895,684.87,12.467,0.216,2.005,17.127,0.769,44.652,0.839,0.293,2.676,0.04,1.777,15.183,0.682,39.584,0.744,0.26,0,0,0.027,0.234,0.01,0.61,0.011,0.004
American Samoa,2020,ASM,46216,,,,,,0,0,0,,733.333,,,,,0,0,,,,,0,,0.15,0.15,,-4.712,-0.068,29946.838,,,,3245.629,0.15,,,100,,,,,0,0,,,,,,0,,0.11,,,,0,0,,0,,,,,0,0,,0,,0,0,,,,0,0,,0,,,,,3245.629,0.15,,,,,,100,,,0,0,,,0,0,,0,0,,3245.629,1.384,,,,0,0,,0,,,,,0,0,,0,,,,,0,0,,0,
American Samoa,2021,ASM,45056,,,,,,0,0,0,,687.5,,,,,0,0,,,,,0,,0.16,0.16,,15.329,0.212,35426.699,,,,3551.136,0.16,,,100,,,,,0,0,,,,,,0,,0.11,,,,0,0,,0,,,,,0,0,,0,,0,0,,,,0,0,,0,,,,,3551.136,0.16,,,,,,100,,,0,0,,,0,0,,0,0,,3551.136,1.596,,,,0,0,,0,,,,,0,0,,0,,,,,0,0,,0,
Angola,2020,AGO,33428490,,,,,,3.889,0.13,0.784,,185.051,,,,,0,0,,,,,0,,16.59,16.59,,-0.629,-0.747,3527.16,,,,134.317,4.49,,,27.064,,,,,56.539,1.89,,0,,,,11.392,,3.07,,,,357.479,11.95,,72.031,,,,,361.967,12.1,,72.936,,0,0,,,,0,0,,0,,,,,77.778,2.6,,-6.54,-52.551,22464.893,750.967,15.672,,,0.13,0,,,3.889,0,,0.784,0,,496.283,117.908,,,,361.967,12.1,,72.936,,,,,0.598,0.02,,0.121,,,,,0,0,,0,
Angola,2021,AGO,34503776,,,,,,4.058,0.14,0.852,,195.983,,,,,0,0,,,,,0,,16.43,16.43,,-18.316,-21.596,2791.332,,,,138.246,4.77,,,29.032,,,,,58.254,2.01,,0,,,,12.234,,3.22,,,,333.297,11.5,,69.994,,,,,337.934,11.66,,70.968,,0,0,,,,0,0,,0,,,,,79.991,2.76,,-11.539,-86.652,19253.398,664.315,16.799,,,0.14,0,,,4.058,0,,0.852,0,,476.18,96.311,,,,337.934,11.66,,70.968,,,,,0.58,0.02,,0.122,,,,,0,0,,0,
Angola,2022,AGO,35588996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.139,7.566,18878.906,671.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,2020,ATG,92672,,,,,,0,0,0,,666.667,,,,,0,0,,,,,0,,0.33,0.33,,-15.375,-0.468,27785.227,,,,3345.131,0.31,,,93.939,,,,,0,0,,,,,,0,,0.22,,,,0,0,,0,,,,,215.815,0.02,,6.061,,0,0,,,,0,0,,0,,,,,3345.131,0.31,,,,,,93.939,,,0,0,,,0,0,,0,0,,3560.946,2.575,,,,215.815,0.02,,6.061,,,,,215.815,0.02,,6.061,,,,,0,0,,0,
Antigua and Barbuda,2021,ATG,93229,,,,,,0,0,0,,657.143,,,,,0,0,,,,,0,,0.35,0.35,,6.681,0.172,29464.332,,,,3539.671,0.33,,,94.286,,,,,0,0,,,,,,0,,0.23,,,,0,0,,0,,,,,214.526,0.02,,5.714,,0,0,,,,0,0,,0,,,,,3539.671,0.33,,,,,,94.286,,,0,0,,,0,0,,0,0,,3754.197,2.747,,,,214.526,0.02,,5.714,,,,,214.526,0.02,,5.714,,,,,0,0,,0,
Argentina,2020,ARG,45036032,,-46.322,-8.324,214.184,9.646,47.518,2.14,1.543,1.109,347.105,23.281,1.891,222.385,10.015,34.417,1.55,0,,,,1.118,1.151,143.4,138.69,15.945,-6.204,-57.529,19314.066,,-7.293,-58.023,2033.483,91.58,16376.283,737.523,66.032,84.789,-5.644,-26.277,439.312,1850.518,83.34,9754.688,-7.984,-33.227,8502.643,382.925,60.091,50.506,48.14,-13.942,-10.338,62.163,538.68,24.26,1380.305,17.492,7.147,-8.019,0.493,132.306,1046.051,47.11,2937.781,33.968,15.211,4.71,3.285,18.586,3.876,25.229,223.377,10.06,560.207,7.254,2.901,-10.452,-33.637,288.195,148.548,6.69,6399.211,-4.084,-13.695,7142.148,321.654,4.824,33.132,7.021,2.14,0,49.055,2.311,47.518,0,155.905,1.543,0,0.807,3079.534,869.829,-12.277,-3.382,107.077,822.675,37.05,2377.575,26.714,12.31,68.108,1.423,3.531,29.532,1.33,78.397,0.959,0.406,88.365,11.546,24.715,206.945,9.32,548.784,6.72,2.841
Argentina,2021,ARG,45276788,,8.019,0.774,230.13,10.42,44.394,2.01,1.37,1.079,357.786,40.309,4.037,310.367,14.052,61.4,2.78,0,,,,1.895,1.455,149.18,146.68,15.189,11.019,95.843,21328.186,,12.741,93.97,2193.839,99.33,18364.658,831.493,67.719,86.105,4.559,20.028,459.341,1965.466,88.99,10145.17,0.825,3.16,8527.216,386.085,60.669,47.567,52.48,-16.991,-10.751,51.412,445.924,20.19,1135.515,13.765,5.324,2.399,1.873,134.179,1045.79,47.35,2963.528,32.281,13.895,2.5,1.676,1.586,0.306,25.536,224.618,10.17,563.996,6.933,2.644,24.256,69.905,358.1,166.973,7.56,7909.122,5.162,16.603,7470.88,338.257,5.154,37.083,7.194,2.01,0,2.461,0.173,44.394,0,158.893,1.37,0,0.745,3239.629,965.672,2.574,1.567,108.643,821.171,37.18,2399.532,25.348,11.251,63.842,2.233,5.764,47.927,2.17,127.296,1.479,0.597,37.478,9.138,33.853,282.926,12.81,747.699,8.733,3.506
Argentina,2022,ARG,45510324,,33.704,3.512,306.113,13.931,45.484,2.07,1.441,1.392,338.275,2.465,0.346,316.387,14.399,59.107,2.69,0,,,,1.872,1.438,155.48,143.67,14.353,3.656,35.302,21994.422,,2.708,22.519,2000.645,91.05,18765.236,854.012,63.374,85.318,-0.547,-2.511,456.83,1774.323,80.75,10037.938,7.727,29.833,9138.986,415.918,56.205,45.639,48.6,21.587,10.871,62.283,574.595,26.15,1368.55,18.201,6.222,12.323,12.782,146.961,1156.221,52.62,3229.188,36.626,14.682,11.81,7.596,-26.555,-6.849,18.687,164.139,7.47,410.6,5.199,1.867,6.893,24.684,382.783,167.215,7.61,8410.91,12.797,43.285,8383.651,381.543,5.297,38.241,7.473,2.07,0,3.872,0.279,45.484,0,164.199,1.441,0,0.747,3156.866,1000.973,20.654,19.632,128.275,992.083,45.15,2818.588,31.426,12.815,33.373,1.895,7.659,63.942,2.91,168.291,2.025,0.765,9.483,3.075,36.929,308.062,14.02,811.435,9.758,3.689
Armenia,2020,ARM,2805610,,,,,,0,0,0,,206.711,,,,,0,0,,,,,0,,6.44,7.45,,5.044,2.302,17086.047,,,,1062.158,2.98,,,40,,,,,1062.158,2.98,,,,,,40,,1.54,,,,634.443,1.78,,23.893,,,,,1593.236,4.47,,60,,-1.01,-15.683,,,,908.893,2.55,,34.228,,,,,0,0,,,,,,0,,,0,0,,,0,0,,0,0,,2655.394,47.937,,,,684.343,1.92,,25.772,,,,,49.9,0.14,,1.879,,,,,0,0,,0,
Armenia,2021,ARM,2790971,,,,,,0,0,0,,222.678,,,,,0,0,,,,,0,,6.69,7.32,,2.963,1.42,17684.547,,,,1139.388,3.18,,,43.443,,,,,1139.388,3.18,,,,,,43.443,,1.63,,,,788.256,2.2,,30.055,,,,,1483.355,4.14,,56.557,,-0.63,-9.417,,,,662.852,1.85,,25.273,,,,,0,0,,,,,,0,,,0,0,,,0,0,,0,0,,2622.743,49.357,,,,820.503,2.29,,31.284,,,,,32.247,0.09,,1.23,,,,,0,0,,0,
Aruba,2020,ABW,106597,,,,,,0,0,0,,579.545,,,,,0,0,,,,,0,,0.88,0.88,,-14.781,-0.804,43496.941,,,,6848.223,0.73,,,82.955,,,,,0,0,,,,,,0,,0.51,,,,0,0,,0,,,,,1407.169,0.15,,17.045,,0,0,,,,0,0,,0,,,,,6848.223,0.73,,,,,,82.955,,,0,0,,,0,0,,0,0,,8255.392,4.637,,,,1407.169,0.15,,17.045,,,,,93.811,0.01,,1.136,,,,,1313.358,0.14,,15.909,
Aruba,2021,ABW,106543,,,,,,0,0,0,,591.398,,,,,0,0,,,,,0,,0.93,0.93,,5.909,0.274,46090.324,,,,7320.988,0.78,,,83.871,,,,,0,0,,,,,,0,,0.55,,,,0,0,,0,,,,,1407.882,0.15,,16.129,,0,0,,,,0,0,,0,,,,,7320.988,0.78,,,,,,83.871,,,0,0,,,0,0,,0,0,,8728.87,4.911,,,,1407.882,0.15,,16.129,,,,,93.859,0.01,,1.075,,,,,1314.023,0.14,,15.054,
Australia,2020,AUS,25670052,,-20.545,-0.311,46.859,1.203,123.88,3.18,1.267,0.076,553.545,-3.772,-18.347,18233.086,468.044,5189.316,133.21,-7.908,-289.615,131378.25,3372.486,53.091,29.491,250.91,250.91,15.81,-5.545,-93.174,61826.211,,-7.578,-116.028,7281.637,186.92,55127.621,1415.129,74.497,89.165,-3.55,-15.641,424.929,1928.707,49.51,16553.49,-0.163,-2.384,56822.621,1458.64,19.732,26.774,138.89,2.854,0.915,37.874,574.989,14.76,1475.397,5.883,2.386,15.347,22.854,171.953,2492.788,63.99,6698.589,25.503,10.835,0,0,,,,0,0,,0,,-13.578,-82.039,522.156,163.615,4.2,20341.045,-0.742,-1.663,8658.755,222.271,1.674,32.9,10.887,3.18,0,-1.652,-0.183,123.88,0,424.104,1.267,0,0.686,9774.425,1587.082,15.347,22.854,171.953,2492.788,63.99,6698.589,25.503,10.835,30.309,14.387,62.618,929.098,23.85,2439.33,9.505,3.945,16.101,8.045,59.372,864.821,22.2,2312.899,8.848,3.741
Australia,2021,AUS,25921094,,2.668,0.032,47.643,1.235,119.208,3.09,1.251,0.078,531.247,-3.334,-15.603,17454.545,452.441,4891.383,126.79,-2.067,-69.697,127417.039,3302.789,51.32,28.409,247.06,247.06,15.513,0.347,5.508,61439.91,,-1.972,-27.906,6754.344,175.08,53517.137,1387.223,70.865,87.105,-6.082,-25.844,399.085,1695.53,43.95,15396.16,1.616,23.572,57181.676,1482.212,17.789,25.059,131.25,10.552,3.843,41.717,569.42,14.76,1609.376,5.974,2.619,19.894,33.414,205.367,2776.889,71.98,7922.771,29.135,12.895,0,0,,,,0,0,,0,,2.593,13.541,535.697,167.431,4.34,20666.436,-3.62,-8.046,8264.5,214.225,1.757,33.637,10.675,3.09,0,-1.946,-0.212,119.208,0,411.822,1.251,0,0.67,9531.233,1592.59,19.894,33.414,205.367,2776.889,71.98,7922.771,29.135,12.895,30.832,19.006,81.624,1081.745,28.04,3148.946,11.349,5.125,18.53,10.744,70.116,1006.516,26.09,2704.984,10.56,4.403
Australia,2022,AUS,26177410,,7.797,0.096,50.855,1.331,116.513,3.05,1.212,0.08,503.179,-4.791,-21.677,16455.543,430.763,4543.23,118.93,-3.607,-119.137,121618.289,3183.652,47.254,25.931,251.68,251.68,15.151,4.307,68.598,63458.84,,2.44,33.845,6508.666,170.38,54286.039,1421.068,67.697,85.545,4.305,17.179,416.264,1800.789,47.14,15901.653,3.1,45.942,58376.801,1528.153,18.73,25.058,126.64,7.404,2.925,44.642,595.552,15.59,1705.37,6.194,2.687,17.427,34.753,240.12,3105.731,81.3,9172.805,32.303,14.455,0,0,,,,0,0,,0,,7.158,38.344,574.04,164.646,4.31,21928.844,-5.033,-10.782,7771.708,203.443,1.712,34.556,10.361,3.05,0,-2.939,-0.314,116.513,0,395.806,1.212,0,0.624,9614.396,1661.188,17.427,34.753,240.12,3105.731,81.3,9172.805,32.303,14.455,24.515,19.64,101.264,1279.347,33.49,3868.36,13.307,6.096,18.124,12.406,82.522,1114.32,29.17,3152.414,11.59,4.968
Austria,2020,AUT,8907780,,-14.95,-0.875,558.705,4.977,515.28,4.59,6.634,1.241,142.506,-14.473,-4.913,3259.157,29.032,62.866,0.56,,,,,0.809,7.238,71.39,69.19,17.25,-6.509,-27.926,45028.27,,-10.341,-28.597,1545.84,13.77,27833.709,247.937,19.902,61.814,-4.193,-3.732,85.272,1117.001,9.95,9572.81,,,,,14.381,21.26,9.86,2.871,2.683,110.299,4714.979,42,12382.319,60.702,27.499,-0.145,0.671,153.165,6221.527,55.42,17194.561,80.098,38.186,2.2,3.082,,,,0,0,,0,,-12.991,-19.952,133.632,365.972,3.26,15001.742,,,,,4.712,33.316,14.688,4.59,0,-1.438,-0.214,515.28,0,1648.864,6.634,0,3.662,7767.368,401.102,-0.145,0.671,153.165,6221.527,55.42,17194.561,80.098,38.186,20.025,0.879,5.365,229.013,2.04,602.32,2.948,1.338,-8.839,-1.802,17.837,762.255,6.79,2002.353,9.814,4.447
Austria,2021,AUT,8922086,,0.393,0.02,560.002,4.996,502.125,4.48,6.692,1.238,147.573,3.109,0.903,3355.101,29.934,15.691,0.14,,,,,0.209,7.416,74.49,66.95,16.586,0.634,2.543,45241.051,,4.056,10.056,1591.556,14.2,28916.211,257.993,21.21,63.916,5.707,4.866,90.139,1190.305,10.62,10102.873,,,,,15.863,22.331,9.88,-7.731,-8.899,101.4,4343.155,38.75,11365.022,57.879,25.121,-4.384,-7.514,145.652,5912.294,52.75,16324.84,78.79,36.084,7.54,10.122,,,,0,0,,0,,3.208,4.287,137.92,385.56,3.44,15458.235,,,,,5.138,34.169,14.338,4.48,0,-2.382,-0.35,502.125,0,1607.006,6.692,0,3.552,7503.85,403.645,-4.384,-7.514,145.652,5912.294,52.75,16324.84,78.79,36.084,36.206,1.916,7.281,311.586,2.78,816.084,4.152,1.804,-0.758,-0.2,17.637,755.429,6.74,1976.725,10.067,4.369
Austria,2022,AUT,8939617,,-4.431,-0.221,534.141,4.775,404.939,3.62,5.596,1.251,157.52,-5.488,-1.643,3164.75,28.292,15.661,0.14,,,,,0.216,7.414,73.39,64.69,16.953,-5.464,-22.054,42685.379,,-6.238,-16.094,1715.957,15.34,27059.148,241.898,23.713,63.392,-12.215,-11.01,79.128,1315.493,11.76,8851.414,,,,,18.179,20.736,10.19,-8.298,-8.753,92.647,4034.848,36.07,10363.625,55.758,24.279,-3.967,-5.959,139.693,5520.37,49.35,15626.231,76.287,36.608,8.7,11.854,,,,0,0,,0,,-2.495,-3.441,134.479,384.804,3.44,15042.984,,,,,5.318,35.242,14.99,3.62,0,4.55,0.652,404.939,0,1676.83,5.596,0,3.928,7236.328,381.591,-3.967,-5.959,139.693,5520.37,49.35,15626.231,76.287,36.608,15.665,1.11,8.391,305.382,2.73,938.635,4.22,2.199,7.496,1.253,18.889,775.201,6.93,2113,10.713,4.95
Azerbaijan,2020,AZE,10284952,,,,,,0,0,0,,534.865,-40.072,-0.003,0.448,0.005,0,0,,,,,0,0.003,23.37,24.38,13.314,1.981,3.557,17803.629,,2.796,4.884,2251.833,23.16,17462.857,179.605,94.996,98.086,4.899,5.776,123.668,1480.804,15.23,12024.156,8.048,19.266,25148.242,258.648,62.469,67.538,13.04,-31.653,-1.316,2.809,104.035,1.07,273.1,4.389,1.534,-27.558,-1.327,3.505,118.62,1.22,340.771,5.004,1.914,-1.01,-4.322,,,,0,0,,0,,-1.563,-0.888,55.932,771.029,7.93,5438.253,-7.812,-34.519,39606.977,407.356,32.527,30.546,0.32,0,0,2.399,0.008,0,0,31.131,0,0,0.175,2370.453,183.109,-27.558,-1.327,3.505,118.62,1.22,340.771,5.004,1.914,6.335,0.007,0.123,4.861,0.05,12.002,0.205,0.067,-8.824,-0.025,0.252,9.723,0.1,24.539,0.41,0.138
Azerbaijan,2021,AZE,10312992,,,,,,0,0,0,,532.902,-66.265,-0.003,0.151,0.002,0,0,,,,,0,0.001,24.77,26.29,13.435,6.866,12.573,18974.334,,6.705,12.043,2411.521,24.87,18583.152,191.648,94.599,97.938,3.644,4.507,128.174,1586.349,16.36,12428.439,22.979,59.435,30842.957,318.083,62.229,65.501,14.01,19.43,0.533,3.342,124.115,1.28,324.085,4.869,1.708,15.812,0.529,4.034,137.69,1.42,391.182,5.401,2.062,-1.52,-6.136,,,,0,0,,0,,13.48,7.54,63.472,825.173,8.51,6154.563,0.679,2.764,39767.348,410.12,32.37,32.436,0.308,0,0,-3.689,-0.012,0,0,29.901,0,0,0.158,2549.212,195.682,15.812,0.529,4.034,137.69,1.42,391.182,5.401,2.062,17.447,0.021,0.144,4.848,0.05,14.006,0.19,0.074,-4.891,-0.013,0.239,8.727,0.09,23.191,0.342,0.122
Azerbaijan,2022,AZE,10358078,,,,,,,,,,,0,0,0.15,0.002,,,,,,,,0.001,,29.033,14.95,-0.761,-1.49,18747.918,,-1.209,-2.317,,,18278.574,189.331,,97.497,-5.586,-7.16,121.015,,,11683.125,7.32,23.285,32956.672,341.368,,62.317,,24.857,0.816,4.158,153.967,1.595,401.412,5.493,2.141,21.121,0.827,4.861,177.798,1.842,469.343,6.343,2.503,,,,,,,,,,,7.63,4.843,68.315,,,6595.299,-5.542,-22.728,37400.008,387.392,,35.179,0.328,0.103,,6.263,0.019,9.91,,31.635,0.354,,0.169,2802.895,194.192,21.121,0.827,4.861,177.798,1.842,469.343,6.343,2.503,10.326,0.014,0.159,5.879,0.061,15.329,0.21,0.082,-8.862,-0.022,0.217,8.042,0.083,20.967,0.287,0.112
Bahamas,2020,BHS,406478,,,,,,0,0,0,,698.492,,,,,0,0,,,,,0,,1.99,1.99,,-15.583,-2.499,33301.77,,,,4895.714,1.99,,,100,,,,,0,0,,,,,,0,,1.39,,,,0,0,,0,,,,,0,0,,0,,0,0,,,,0,0,,0,,,,,4895.714,1.99,,,,,,100,,,0,0,,,0,0,,0,0,,4895.714,13.536,,,,0,0,,0,,,,,0,0,,0,,,,,0,0,,0,
Bahamas,2021,BHS,407920,,,,,,0,0,0,,698.113,,,,,0,0,,,,,0,,2.12,2.12,,6.821,0.923,35447.574,,,,5197.097,2.12,,,100,,,,,0,0,,,,,,0,,1.48,,,,0,0,,0,,,,,0,0,,0,,0,0,,,,0,0,,0,,,,,5197.097,2.12,,,,,,100,,,0,0,,,0,0,,0,0,,5197.097,14.46,,,,0,0,,0,,,,,0,0,,0,,,,,0,0,,0,
Bahrain,2020,BHR,1477478,,,,,,0,0,0,,489.953,,,,,0,0,,,,,0,,30.06,29.86,,-0.675,-1.568,156095.797,,,,20203.346,29.85,,,99.967,,,,,20203.346,29.85,,1.05,1.707,111248.227,164.367,99.967,,14.63,,,,0,0,,0,,,,,6.768,0.01,,0.033,,0.2,0.665,,,,0,0,,0,,,,,0,0,,0,,,,0,,,0,0,,,0,0,,0,0,,20210.115,230.628,,,,6.768,0.01,,0.033,,,,,6.768,0.01,,0.033,,,,,0,0,,0,
Bahrain,2021,BHR,1463266,,,,,,0,0,0,,489.77,,,,,0,0,,,,,0,,31.97,31.77,,2.22,5.12,161111.203,,,,21704.871,31.76,,,99.969,,,,,21704.871,31.76,,4.816,7.916,117738.32,172.282,99.969,,15.56,,,,0,0,,0,,,,,6.834,0.01,,0.031,,0.2,0.626,,,,0,0,,0,,,,,0,0,,0,,,,0,,,0,0,,,0,0,,0,0,,21711.707,235.749,,,,6.834,0.01,,0.031,,,,,6.834,0.01,,0.031,,,,,0,0,,0,
Bahrain,2022,BHR,1472237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.693,-1.194,116209.859,171.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,2020,BGD,167420944,,,,,,0.179,0.03,0.04,,560.222,8.909,4.282,312.666,52.347,56.922,9.53,0,,,,12.586,11.453,82.39,75.72,16.566,-5.309,-25.626,2730.078,,-5.307,-25.455,444.449,74.41,2712.829,454.184,98.27,99.368,-3.294,-10.191,299.153,308.564,51.66,1786.832,-6.144,-15.535,1417.439,237.309,68.225,65.45,42.42,-14.873,-0.329,1.84,5.256,0.88,10.991,1.162,0.403,-5.242,-0.171,2.888,7.825,1.31,17.249,1.73,0.632,6.67,8.096,,,,0,0,,0,,-15.991,-19.546,102.684,78.963,13.22,613.331,0,,,,17.459,22.466,0.012,0.03,0,3.541,0,0.179,0,0.074,0.04,0,0.003,452.273,457.072,-5.242,-0.171,2.888,7.825,1.31,17.249,1.73,0.632,18.77,0.158,1.022,2.329,0.39,6.104,0.515,0.224,0.274,0,0.013,0.06,0.01,0.08,0.013,0.003
